image	sample.number	CO2	Tray	Species	plant	tissue	vessel_no	Area	Mean	IntDen	RawIntDen	radius	diameter	notes	MaxVessel
77A_10x	77	amb	6	Spe	1	primary	14	358.221	112.862	40429.527	172679	10.6782623	21.3565246		17
77A_10x	77	amb	6	Spe	1	primary	15	464.282	122.191	56730.905	242304	12.15670805	24.3134161		17
77A_10x	77	amb	6	Spe	1	primary	16	415.817	102.016	42419.875	181180	11.50472346	23.00944692		17
77A_10x	77	amb	6	Spe	1	primary	17	401.535	139.024	55822.945	238426	11.30542171	22.61084343		17
78C_20x	78	amb	6	Spe	1	lateral	1	1312.978	162.093	212825.081	3683087	20.44343116	40.88686233		4
78C_20x	78	amb	6	Spe	1	lateral	3	565.998	149.492	84612.469	1464278	13.42247216	26.84494433		4
78C_20x	78	amb	6	Spe	1	lateral	4	1353.716	160.083	216707.443	3750274	20.7581595	41.516319		4
79B_4x	79	ele	6	Sly	2	primary	1	6130.28	166.881	1023026.472	687883	44.17384666	88.34769333		34
79B_4x	79	ele	6	Sly	2	primary	2	6787.626	165.103	1120655.86	753529	46.4819154	92.96383081		34
79B_4x	79	ele	6	Sly	2	primary	3	7672.516	180.039	1381348.899	928819	49.41900135	98.83800271		34
79B_4x	79	ele	6	Sly	2	primary	4	4527.067	138.575	627337.894	421822	37.9606399	75.9212798		34
79B_4x	79	ele	6	Sly	2	primary	5	1094.587	129.409	141649.316	95245	18.66595466	37.33190932		34
79B_4x	79	ele	6	Sly	2	primary	6	874.479	191.779	167706.722	112766	16.68398367	33.36796733		34
79B_4x	79	ele	6	Sly	2	primary	7	875.967	149.146	130646.936	87847	16.69817224	33.39634447		34
79B_4x	79	ele	6	Sly	2	primary	8	1033.611	116.554	120471.446	81005	18.13859421	36.27718841		34
79B_4x	79	ele	6	Sly	2	primary	9	2071.684	143.395	297068.709	199749	25.67951515	51.3590303		34
79B_4x	79	ele	6	Sly	2	primary	10	5295.955	195.637	1036084.176	696663	41.05794483	82.11588965		34
79B_4x	79	ele	6	Sly	2	primary	11	2401.844	196.646	472314.099	317584	27.65014811	55.30029621		34
79B_4x	79	ele	6	Sly	2	primary	12	368.828	170.48	62877.751	42279	10.83520183	21.67040366		34
79B_4x	79	ele	6	Sly	2	primary	14	2969.958	166.148	493451.814	331797	30.74682086	61.49364172		34
79B_4x	79	ele	6	Sly	2	primary	15	633.551	117.664	74546.401	50125	14.2008995	28.40179901		34
79B_4x	79	ele	6	Sly	2	primary	16	10236.466	171.108	1751545.211	1177739	57.08211916	114.1642383		34
79B_4x	79	ele	6	Sly	2	primary	17	4852.766	134.027	650403.034	437331	39.3024604	78.60492079		34
79B_4x	79	ele	6	Sly	2	primary	18	4861.689	150.279	730608.269	491261	39.33857741	78.67715481		34
79B_4x	79	ele	6	Sly	2	primary	19	4058.596	120.824	490377.751	329730	35.94288846	71.88577692		34
79B_4x	79	ele	6	Sly	2	primary	20	3078.525	162.868	501392.029	337136	31.30375285	62.6075057		34
79B_4x	79	ele	6	Sly	2	primary	21	2953.599	162.265	479265.318	322258	30.66202475	61.32404949		34
79B_4x	79	ele	6	Sly	2	primary	22	2697.799	137.411	370707.912	249264	29.30419923	58.60839846		34
79B_4x	79	ele	6	Sly	2	primary	23	2151.993	148.961	320562.165	215546	26.17251701	52.34503403		34
79B_4x	79	ele	6	Sly	2	primary	24	2644.259	149.582	395532.421	265956	29.01195928	58.02391856		34
79B_4x	79	ele	6	Sly	2	primary	25	1610.648	145.445	234260.857	157517	22.64255245	45.2851049		34
79B_4x	79	ele	6	Sly	2	primary	26	898.275	98.23	88237.656	59331	16.90945928	33.81891855		34
79B_4x	79	ele	6	Sly	2	primary	27	623.141	95.177	59308.447	39879	14.0837474	28.1674948		34
79B_4x	79	ele	6	Sly	2	primary	28	1771.267	99.112	175553.242	118042	23.74472146	47.48944292		34
79B_4x	79	ele	6	Sly	2	primary	29	2516.359	119.674	301143.664	202489	28.30162446	56.60324891		34
79B_4x	79	ele	6	Sly	2	primary	30	1270.077	109.557	139146.341	93562	20.10666719	40.21333437		34
79B_4x	79	ele	6	Sly	2	primary	31	431.291	123.683	53343.248	35868	11.71683358	23.43366716		34
79B_4x	79	ele	6	Sly	2	primary	32	759.964	140.978	107138.608	72040	15.55326507	31.10653014		34
79B_4x	79	ele	6	Sly	2	primary	33	414.932	132.294	54892.921	36910	11.49247396	22.98494792		34
79B_4x	79	ele	6	Sly	2	primary	34	536.883	142.823	76679.06	51559	13.07268781	26.14537562		34
80B_10x	80	ele	6	Sly	2	lateral	1	5201.614	236.442	1229880.131	5372909	40.69060285	81.3812057		12
80B_10x	80	ele	6	Sly	2	lateral	2	1596.834	182.546	291496.142	1273443	22.54524448	45.09048897		12
80B_10x	80	ele	6	Sly	2	lateral	3	402.413	176.908	71190.275	311005	11.31777523	22.63555047		12
80B_10x	80	ele	6	Sly	2	lateral	4	1962.851	206.347	405029.3	1769429	24.99589723	49.99179446		12
80B_10x	80	ele	6	Sly	2	lateral	5	2952.632	199.1	587869.998	2568195	30.657005	61.31401001		12
80B_10x	80	ele	6	Sly	2	lateral	6	887.003	187.913	166679.392	728163	16.8030302	33.6060604		12
80B_10x	80	ele	6	Sly	2	lateral	7	1094.161	185.588	203063.676	887113	18.66232203	37.32464405		12
80B_10x	80	ele	6	Sly	2	lateral	8	479.783	172.255	82645.087	361047	12.3579801	24.7159602		12
80B_10x	80	ele	6	Sly	2	lateral	11	3227.317	232.977	751890.67	3284743	32.05131677	64.10263355		12
80B_10x	80	ele	6	Sly	2	lateral	12	4706.723	218.472	1028288.078	4492225	38.70654289	77.41308578		12
81A_20x	81	ele	6	Spe	1	primary	2	517.633	148.458	76846.646	1329885	12.83618718	25.67237436		11
81A_20x	81	ele	6	Spe	1	primary	6	1121.365	133.967	150225.359	2599755	18.89289722	37.78579445		11
81A_20x	81	ele	6	Spe	1	primary	9	731.493	172.573	126236.153	2184605	15.25914328	30.51828656		11
81A_20x	81	ele	6	Spe	1	primary	10	2917.016	207.503	605288.2	10474936	30.47154461	60.94308922		11
81A_20x	81	ele	6	Spe	1	primary	11	7587.442	181.957	1380585.356	23891996	49.144255	98.28851		11
82A_20x	82	ele	6	Spe	1	lateral	1	1448.54	138.176	200153.533	3463797	21.47288063	42.94576126		4
82A_20x	82	ele	6	Spe	1	lateral	2	674.402	120.333	81152.915	1404408	14.65158093	29.30316187		4
82A_20x	82	ele	6	Spe	1	lateral	4	1258.892	167.405	210744.61	3647083	20.01793619	40.03587238		4
